Model_ID,Mosaic_Avg
meta-llama/Llama-2-70b-chat-hf,0.513
huggingface/llama-30b,0.467
mosaicml/mpt-30b-chat,0.445
mosaicml/mpt-30b-instruct,0.431
meta-llama/Llama-2-13b-chat-hf,0.425
tiiuae/falcon-40b,0.417
tiiuae/falcon-40b-instruct,0.417
meta-llama/Llama-2-13b-hf,0.416
mosaicml/mpt-30b,0.400
huggyllama/llama-13b,0.387
meta-llama/Llama-2-7b-chat-hf,0.370
mosaicml/mpt-7b-8k-chat,0.370
internlm/internlm-chat-7b,0.359
internlm/internlm-chat-7b-8k,0.353
meta-llama/Llama-2-7b-hf,0.347
internlm/internlm-7b,0.342
mosaicml/mpt-7b-chat,0.331
salesforce/xgen-7b-8k-inst,0.327
mosaicml/mpt-7b-instruct,0.323
huggyllama/llama-7b,0.320
mosaicml/mpt-7b-8k-instruct,0.320
mosaicml/mpt-7b-8k-base,0.319
togethercomputer/RedPajama-INCITE-7B-Instruct,0.317
mosaicml/mpt-7b,0.296
salesforce/xgen-7b-4k-base,0.295
salesforce/xgen-7b-8k-base,0.293
tiiuae/falcon-7b,0.279
mosaicml/mpt-7b-storywriter,0.278
togethercomputer/RedPajama-INCITE-7B-Base,0.268
EleutherAI/pythia-12b,0.256
tiiuae/falcon-7b-instruct,0.255
EleutherAI/gpt-j-6b,0.254
databricks/dolly-v2-12b,0.239
EleutherAI/pythia-6.9b,0.225
salesforce/codegen25-7b-multi,0.224
facebook/opt-6.7b,0.219
salesforce/codegen25-7b-instruct,0.198
salesforce/codegen25-7b-mono,0.182
stabilityai/stablelm-tuned-alpha-7b,0.149
replit/replit-code-v1-3b,0.138
